year,title,ndc_code,genre,genre_major,location,creator_normalized
1832,偐紫田舎源氏,913.57,913.57:小説．物語/近世：江戸時代/草双紙：赤本，黒本，青本，黄表紙，合巻,小説．物語,江戸,その他
1861,傍廂,914.5,914.5:日本文学/評論．エッセイ．随筆/近世：江戸時代,日本文学,江戸,その他
1860,八まん祭りよみやのにきはひ (存3編),912.5,912.5:日本文学/戯曲/歌舞伎：鶴屋南北，河竹黙阿弥,日本文学,不明,その他
1833,八十浦之玉,911.15,911.15:詩歌/和歌．短歌/近世：江戸時代,詩歌,その他,その他
1837,八十翁むかし話,914.5,914.5:日本文学/評論．エッセイ．随筆/近世：江戸時代,日本文学,不明,その他
1856,八犬伝後日譚,913.57,913.57:小説．物語/近世：江戸時代/草双紙：赤本，黒本，青本，黄表紙，合巻,小説．物語,江戸,為永春水
1835,六如菴詩鈔,919.5,919.5:日本文学/漢詩文．日本漢文学/近世：江戸時代,日本文学,不明,その他
1855,其由縁鄙俤 23編92巻 (存2編8巻),913.59,913.59:小説．物語/近世：江戸時代/咄本：醒睡笑,小説．物語,不明,その他
1812,円珠庵雑記,914.5,914.5:日本文学/評論．エッセイ．随筆/近世：江戸時代,日本文学,江戸,その他
1812,円珠菴雑記,914,914:日本文学/評論．エッセイ．随筆,日本文学,江戸,その他
1814,冠附かゞみ磨,911.49,911.49:詩歌/川柳．狂句/雑俳：前句付，冠付，物は付，沓付，折句,詩歌,不明,その他
1814,冠附名付親,911.49,911.49:詩歌/川柳．狂句/雑俳：前句付，冠付，物は付，沓付，折句,詩歌,不明,その他
1845,冠附和田の松,911.49,911.49:詩歌/川柳．狂句/雑俳：前句付，冠付，物は付，沓付，折句,詩歌,不明,その他
1816,冠附後の栞,911.49,911.49:詩歌/川柳．狂句/雑俳：前句付，冠付，物は付，沓付，折句,詩歌,不明,その他
1843,冠附机の塵,911.49,911.49:詩歌/川柳．狂句/雑俳：前句付，冠付，物は付，沓付，折句,詩歌,不明,その他
1844,冠附玉の光,911.49,911.49:詩歌/川柳．狂句/雑俳：前句付，冠付，物は付，沓付，折句,詩歌,不明,その他
1847,列女百人一首,911.1,911.1:日本文学/詩歌/和歌．短歌,日本文学,江戸,緑亭 川柳
1831,刪訂詩学貫珠,919,919:日本文学/漢詩文．日本漢文学,日本文学,大阪,その他
1803,前太平記図会,913.5,913.5:日本文学/小説．物語/近世：江戸時代,日本文学,京都,その他
1840,加越能三州百人歌集,911,911:日本文学/詩歌,日本文学,金沢,その他
1828,勅撰集外哥仙,911.14,911.14:詩歌/和歌．短歌/中世：鎌倉・室町時代,詩歌,不明,その他
1848,北条時頼記図会,913.5,913.5:日本文学/小説．物語/近世：江戸時代,日本文学,江戸,その他
1819,北辺随筆,914.5,914.5:日本文学/評論．エッセイ．随筆/近世：江戸時代,日本文学,京都,その他
1822,北遊詩草,919,919:日本文学/漢詩文．日本漢文学,日本文学,不明,その他
1839,北道遊簿 : 2巻,915,915:日本文学/日記．書簡．紀行,日本文学,江戸,その他
1813,北野霊験二葉之梅 6巻,913.56,913.56:小説．物語/近世：江戸時代/読本：滝沢馬琴，上田秋成,小説．物語,不明,その他
1810,十二番歌合 : 寛保元年八月於荷田在満家,911.18,911.18:詩歌/和歌．短歌/歌合．曲水,詩歌,江戸,賀茂 真淵
1801,十評発句集,911.3,911.3:日本文学/詩歌/俳諧．俳句,日本文学,京都,その他
1855,千々廼屋集 : 3巻,911.15,911.15:詩歌/和歌．短歌/近世：江戸時代,詩歌,不明,その他
1855,千々迺屋集 : 初編3巻,911.158,911.158:和歌．短歌/近世：江戸時代/家集,和歌．短歌,不明,その他
1836,千本桜後日仇討,913.57,913.57:小説．物語/近世：江戸時代/草双紙：赤本，黒本，青本，黄表紙，合巻,小説．物語,江戸,その他
1817,千紅万紫 : 初集,911.19,911.19:詩歌/和歌．短歌/狂歌．へなぶり,詩歌,江戸,その他
1825,千鳥のあと,911.107,911.107:詩歌/和歌．短歌/研究法．指導法．作歌法．作歌用書,詩歌,不明,その他
1861,南北太平記図会,913.5,913.5:日本文学/小説．物語/近世：江戸時代,日本文学,大阪,その他
1835,南園雑集,919,919:日本文学/漢詩文．日本漢文学,日本文学,その他,その他
