year,title,ndc_code,genre,genre_major,location,creator_normalized,genre_norm,period
1843,日光駅程見聞雑記,915,915:日本文学/日記．書簡．紀行,日本文学,江戸,その他,日記・紀行,1830-1843 天保期
1830,日本楽府 : 山陽外史擬製,919,919:日本文学/漢詩文．日本漢文学,日本文学,京都,その他,漢詩文,1830-1843 天保期
1810,早引説要集,913.5,913.5:日本文学/小説．物語/近世：江戸時代,日本文学,江戸,山東 京山,小説・物語,1801-1829 化政期
1854,春の文かしくの草紙,913.57,913.57:小説．物語/近世：江戸時代/草双紙：赤本，黒本，青本，黄表紙，合巻,小説．物語,江戸,山東 京山,小説・物語,1844-1867 幕末期
1841,春色梅美婦禰,913.5,913.5:日本文学/小説．物語/近世：江戸時代,日本文学,江戸,為永春水,小説・物語,1830-1843 天保期
1816,曽禰好忠家集,911.13,911.13:詩歌/和歌．短歌/古代後期［中古］：平安時代,詩歌,大阪,その他,和歌・短歌,1801-1829 化政期
1833,木曽義仲勲功図会,913.5,913.5:日本文学/小説．物語/近世：江戸時代,日本文学,大阪,その他,小説・物語,1830-1843 天保期
1822,木曽義仲鼎臣録,913.5,913.5:日本文学/小説．物語/近世：江戸時代,日本文学,江戸,その他,小説・物語,1801-1829 化政期
1803,東〓子,914.5,914.5:日本文学/評論．エッセイ．随筆/近世：江戸時代,日本文学,大阪,その他,随筆,1801-1829 化政期
1822,東武六歌仙,911.3,911.3:日本文学/詩歌/俳諧．俳句,日本文学,京都,その他,俳諧,1801-1829 化政期
1825,東洞先生遺稿 : 3巻,919.5,919.5:日本文学/漢詩文．日本漢文学/近世：江戸時代,日本文学,大阪,その他,漢詩文,1801-1829 化政期
1867,東海道膝栗毛,913.55,913.55:小説．物語/近世：江戸時代/滑稽本：十返舎一九，式亭三馬，滝亭鯉丈,小説．物語,江戸,その他,小説・物語,1844-1867 幕末期
1803,東牖子 : 5巻,914,914:日本文学/評論．エッセイ．随筆,日本文学,その他,その他,随筆,1801-1829 化政期
1821,東風流六六歌仙人名録 : 初篇,911.19,911.19:詩歌/和歌．短歌/狂歌．へなぶり,詩歌,江戸,その他,狂歌,1801-1829 化政期
1848,柳〓雑筆,914.5,914.5:日本文学/評論．エッセイ．随筆/近世：江戸時代,日本文学,江戸,その他,随筆,1844-1867 幕末期
1832,栄花物語系図,913.392,913.392:古代後期［中古］：平安時代/歴史物語/栄華物語,古代後期［中古］：平安時代,江戸,その他,小説・物語,1830-1843 天保期
1851,校正七部集,911.3,911.3:日本文学/詩歌/俳諧．俳句,日本文学,江戸,不明,俳諧,1844-1867 幕末期
1820,校異首書土佐日記全,915.3,915.3:日本文学/日記．書簡．紀行/古代：平安時代まで,日本文学,京都,その他,日記・紀行,1801-1829 化政期
1843,桂の落葉 : 2巻,911.15,911.15:詩歌/和歌．短歌/近世：江戸時代,詩歌,江戸,香川 景樹,和歌・短歌,1830-1843 天保期
1835,桂園一枝,911.1,911.1:日本文学/詩歌/和歌．短歌,日本文学,京都,香川 景樹,和歌・短歌,1830-1843 天保期
1835,桧垣嫗家集補註 : 2巻,911.138,911.138:和歌．短歌/古代後期［中古］：平安時代/家集,和歌．短歌,長崎,中島 広足,和歌・短歌,1830-1843 天保期
1860,梁塵後抄 4巻,911.6,911.6:日本文学/詩歌/歌謡,日本文学,大阪,その他,歌謡,1844-1867 幕末期
1855,梅園叢書,914,914:日本文学/評論．エッセイ．随筆,日本文学,大阪,その他,随筆,1844-1867 幕末期
1849,梅室両吟稿,913,913:日本文学/小説．物語,日本文学,大阪,その他,小説・物語,1844-1867 幕末期
1839,梅室家集,913,913:日本文学/小説．物語,日本文学,大阪,その他,小説・物語,1830-1843 天保期
1828,梅室附合集,913,913:日本文学/小説．物語,日本文学,江戸,その他,小説・物語,1801-1829 化政期
1806,梅窓筆記,914.5,914.5:日本文学/評論．エッセイ．随筆/近世：江戸時代,日本文学,京都,その他,随筆,1801-1829 化政期
1823,梧窓漫筆,914,914:日本文学/評論．エッセイ．随筆,日本文学,江戸,その他,随筆,1801-1829 化政期
